Indicator,Country code,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Foreign currency,US,"862.772,00","928.829,00","859.714,00","846.152,00","862.772,00"
Euro,US,"348.161,00","352.186,00","337.193,00","333.377,00","348.161,00"
Yen,US,"140.810,00","135.184,00","123.335,00","127.647,00","140.810,00"
Other currencies,US,"373.801,00","441.459,00","399.186,00","385.129,00","373.801,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Of which one year or less,US,"1.714.221,00","1.868.917,00","1.822.567,00","1.787.566,00","1.714.221,00"
Domestic currency,US,"1.413.266,00","1.572.779,00","1.544.801,00","1.496.061,00","1.413.266,00"
Foreign currency,US,"300.955,00","296.138,00","277.766,00","291.504,00","300.955,00"
Euro,US,"99.167,00","91.618,00","90.497,00","93.211,00","99.167,00"
Yen,US,"85.484,00","74.007,00","67.743,00","73.804,00","85.484,00"
Other currencies,US,"116.305,00","130.513,00","119.526,00","124.490,00","116.305,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Total,US,"1.692.292,00","1.716.349,00","1.715.771,00","1.686.207,00","1.692.292,00"
Domestic currency,US,"1.210.017,00","1.245.893,00","1.252.258,00","1.210.673,00","1.210.017,00"
Foreign currency,US,"482.275,00","470.456,00","463.513,00","475.534,00","482.275,00"
Euro,US,"276.486,00","267.760,00","265.658,00","284.298,00","276.486,00"
Yen,US,"52.614,00","40.870,00","44.028,00","44.934,00","52.614,00"
Other currencies,US,"153.176,00","161.827,00","153.826,00","146.303,00","153.176,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Of which one year or less,US,"1.257.470,00","1.262.514,00","1.271.592,00","1.255.089,00","1.257.470,00"
Domestic currency,US,"822.694,00","842.846,00","861.061,00","830.983,00","822.694,00"
Foreign currency,US,"434.776,00","419.667,00","410.531,00","424.106,00","434.776,00"
Euro,US,"261.714,00","251.855,00","247.436,00","266.386,00","261.714,00"
Yen,US,"42.755,00","31.504,00","34.428,00","35.390,00","42.755,00"
Other currencies,US,"130.307,00","136.308,00","128.667,00","122.330,00","130.307,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Total,US,"1.207.554,00","1.203.000,00","1.220.734,00","1.178.533,00","1.207.554,00"
Domestic currency,US,"1.048.365,00","1.055.131,00","1.064.967,00","1.041.947,00","1.048.365,00"
Foreign currency,US,"159.189,00","147.870,00","155.766,00","136.586,00","159.189,00"
Euro,US,"69.980,00","55.951,00","61.249,00","54.567,00","69.980,00"
Yen,US,"2.672,00","3.009,00","3.031,00","2.525,00","2.672,00"
Other currencies,US,"86.536,00","88.910,00","91.486,00","79.494,00","86.536,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Total,US,"9.894.461,00","10.306.192,00","10.057.727,00","9.827.102,00","9.894.461,00"
Domestic currency,US,"7.918.557,00","8.294.872,00","8.132.104,00","7.949.419,00","7.918.557,00"
Foreign currency,US,"1.975.904,00","2.011.320,00","1.925.623,00","1.877.683,00","1.975.904,00"
Euro,US,"882.482,00","824.291,00","825.251,00","823.073,00","882.482,00"
Yen,US,"300.013,00","277.442,00","262.410,00","268.461,00","300.013,00"
Other currencies,US,"793.409,00","909.588,00","837.962,00","786.149,00","793.409,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Of which one year or less,US,"4.617.515,00","4.726.847,00","4.682.798,00","4.645.225,00","4.617.515,00"
Domestic currency,US,"3.599.078,00","3.741.147,00","3.743.094,00","3.690.914,00","3.599.078,00"
Foreign currency,US,"1.018.437,00","985.700,00","939.705,00","954.311,00","1.018.437,00"
Euro,US,"475.769,00","430.378,00","431.061,00","446.702,00","475.769,00"
Yen,US,"191.660,00","163.607,00","154.035,00","163.494,00","191.660,00"
Other currencies,US,"351.008,00","391.715,00","354.608,00","344.115,00","351.008,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
In SDR basket,US,"706.914,00","744.988,00","702.624,00","656.202,00","706.914,00"
